1	1.77	0.99	5.04	0.82	0.74	1.07	1	0.83	1.53	0.66	0.59	0.87
10	14.73	9.62	32.13	4.77	3.54	9.48	3.49	2.68	6.78	2.21	1.72	4.25
50	99.53	62.34	186.01	30.28	21.58	61.38	21.14	16.14	42.59	15.35	11.78	31.37
100	185.16	131.31	393.11	62.54	44.83	127.74	40.12	30.6	85.96	25.35	24.79	66.5
200	361.33	250.5	796.33	115.66	80.5	253.25	76.33	65.8	147.33	54.66	53.5	135.65
300	520.36	385.66	1450.15	183.5	125.66	380.66	135.68	104.5	219.63	76.83	70.66	190.5
400	720.25	530.75	2049.33	257.67	175.63	495.63	156.2	124.66	326.93	105.63	101.5	250.93
500	986.21	696.65	2889.42	330.42	229.74	904.14	186.97	148.97	485.62	141.15	115.21	339.16
600	1080.33	775.33	3101.5	394.25	275.83	910.5	221.56	161.33	560.5	160.55	150.15	437.93
700	1250.25	901.5	3521.35	460.38	315.25	1014.93	254.66	185.4	602.93	175.5	170.5	507.8
800	1460.3	1047.13	3723.05	499.66	338.65	1245.83	293.93	243.5	658.9	183.56	181.66	584.33
900	1600.5	1213.76	4006.55	521.33	365.96	1438.67	325.83	276.93	712.63	220.86	205.93	668.5
1000	1730.52	1327.99	4394.97	545.53	392.06	1613.2	356.78	315.82	783.2	285.31	223.52	734.8
